Año,Nacimientos,Natalidad,Fecundidad,Defunciones,Mortalidad,Esperanza-Total,Esperanza-H,Esperanza-M,Mortalidad infantil,Migrantes,Tasa de migración,Crecimiento,Tasa de crecimiento
1950,381237,49,7,171911,22.1,43.8,42.4,45.2,159.5,-3035,-0.4,206291,
1951,389641,48.8,7,176055,22.1,43.9,42.5,45.2,159.6,-3127,-0.4,210459,2.6
1952,398697,48.7,7,179418,21.9,44,42.7,45.4,159,-3228,-0.4,216051,2.6
1953,408123,48.6,6.9,182236,21.7,44.3,42.9,45.7,158,-3357,-0.4,222530,2.6
1954,418295,48.5,6.9,184194,21.4,44.6,43.3,46,156.5,-3488,-0.4,230613,2.7
1955,428931,48.4,6.9,185528,20.9,45.1,43.7,46.5,154.5,-3642,-0.4,239761,2.7
1956,439750,48.3,7,186473,20.5,45.6,44.2,47,152.1,-3836,-0.4,249441,2.7
1957,450469,48.2,7,187265,20,46.2,44.8,47.6,149.5,-4092,-0.5,259112,2.7
1958,461276,48,6.9,187746,19.5,46.8,45.3,48.2,146.8,-4396,-0.5,269134,2.8
1959,472360,47.8,6.9,187761,19,47.4,45.9,48.9,143.9,-4734,-0.5,279865,2.8
1960,483437,47.6,6.9,187543,18.5,48.1,46.5,49.6,140.7,-5128,-0.5,290766,2.8
1961,494227,47.3,6.9,187329,17.9,48.7,47.2,50.3,137.5,-5595,-0.6,301303,2.9
1962,504447,46.9,6.9,187354,17.4,49.4,47.8,50.9,134.5,-6156,-0.6,310937,2.9
1963,514033,46.5,6.9,187862,17,49.9,48.4,51.5,131.8,-6796,-0.6,319375,2.9
1964,523172,46,6.8,188697,16.6,50.4,48.8,52.1,129.4,-7501,-0.7,326974,2.9
1965,531962,45.4,6.7,189492,16.2,50.9,49.3,52.5,127.1,-8295,-0.7,334175,2.9
1966,540499,44.9,6.7,189879,15.8,51.4,49.8,53,124.9,-9199,-0.8,341421,2.8
1967,548879,44.3,6.6,189492,15.3,52,50.3,53.6,122.4,-10238,-0.8,349149,2.8
1968,557147,43.8,6.5,187992,14.8,52.6,50.9,54.3,119.4,-11395,-0.9,357760,2.8
1969,565237,43.2,6.4,185624,14.2,53.4,51.7,55.1,115.9,-12656,-1,366957,2.8
1970,573085,42.6,6.3,182896,13.6,54.2,52.5,55.9,112.2,-14043,-1.1,376146,2.8
1971,580625,42,6.2,180317,13,55,53.3,56.8,108.6,-15580,-1.1,384728,2.8
1972,587794,41.4,6.1,178395,12.5,55.8,54.1,57.6,105.3,-17288,-1.2,392111,2.8
1973,594470,40.7,6,177313,12.1,56.5,54.7,58.3,102.7,-17835,-1.3,399322,2.8
1974,600696,40,5.8,176732,11.8,57.1,55.3,58.9,100.8,-17889,-1.3,406075,2.7
1975,606654,39.4,5.7,176379,11.4,57.6,55.7,59.4,99.2,-17912,-1.3,412363,2.7
1976,612526,38.7,5.6,175977,11.1,58.1,56.2,60,97.8,-18366,-1.2,418183,2.7
1977,618493,38.1,5.4,175252,10.8,58.6,56.7,60.5,96,-19712,-1.3,423529,2.6
1978,624583,37.5,5.3,174167,10.4,59.2,57.2,61.1,93.7,-22105,-1.3,428311,2.6
1979,630674,36.9,5.2,172906,10.1,59.7,57.8,61.7,90.9,-25238,-1.5,432530,2.6
1980,636726,36.3,5,171523,9.8,60.3,58.3,62.3,87.9,-28878,-1.6,436325,2.5
1981,642700,35.8,4.9,170075,9.5,60.8,58.8,62.8,84.8,-32794,-1.8,439831,2.5
1982,648555,35.2,4.8,168617,9.2,61.4,59.4,63.4,81.7,-36754,-2,443184,2.5
1983,654859,34.7,4.7,167172,8.9,62,59.9,64.1,78.9,-40948,-2.2,446739,2.4
1984,661638,34.3,4.6,165703,8.6,62.6,60.5,64.7,76.2,-45532,-2.4,450403,2.4
1985,668043,33.8,4.5,164175,8.3,63.2,61,65.3,73.5,-50219,-2.6,453649,2.3
1986,673221,33.3,4.4,162554,8,63.8,61.6,65.9,70.9,-54722,-2.7,455945,2.3
1987,676324,32.7,4.3,160806,7.8,64.4,62.1,66.5,68,-58756,-2.9,456762,2.3
1988,677211,32.1,4.1,158813,7.5,65,62.7,67.2,65,-62778,-3,455620,2.2
1989,676450,31.3,4,156599,7.3,65.6,63.3,67.8,61.8,-66980,-3.2,452871,2.2
1990,674249,30.6,3.9,154339,7,66.2,64,68.4,58.4,-70674,-3.3,449236,2.1
1991,670819,29.8,3.8,152208,6.8,66.8,64.6,68.9,55,-73173,-3.4,445438,2
1992,666367,29.1,3.7,150383,6.6,67.4,65.2,69.5,51.7,-73790,-3.4,442194,2
1993,660126,28.3,3.6,148833,6.4,67.9,65.7,70,48.7,-69350,-3.2,441943,1.9
1994,651955,27.4,3.4,147441,6.2,68.4,66.2,70.6,45.7,-60310,-2.9,444204,1.9
1995,643008,26.5,3.3,146253,6,68.9,66.7,71.1,42.9,-51435,-2.5,445320,1.8
1996,634439,25.7,3.2,145312,5.9,69.4,67.2,71.5,40.1,-47487,-2.2,441640,1.8
1997,627403,25,3.1,144664,5.8,69.8,67.6,72,37.5,-53230,-2.1,429509,1.8
1998,621696,24.3,3,144346,5.6,70.3,68,72.5,34.9,-72283,-2.5,405067,1.8
1999,616550,23.7,2.9,144326,5.5,70.7,68.4,72.9,32.5,-101470,-3.4,370754,1.6
2000,612267,23.2,2.9,144551,5.5,71.1,68.8,73.3,30.1,-135364,-4.6,332352,1.4
2001,609152,22.8,2.8,144966,5.4,71.5,69.2,73.8,27.9,-168534,-5.8,295652,1.2
2002,607506,22.5,2.7,145514,5.4,71.9,69.6,74.2,25.9,-195552,-6.9,266440,1.1
2003,608932,22.3,2.7,146248,5.4,72.2,69.9,74.5,24.1,-218637,-7.8,244047,0.9
2004,613225,22.3,2.7,147204,5.4,72.6,70.2,74.9,22.5,-241406,-8.6,224615,0.9
2005,617987,22.3,2.7,148305,5.3,72.9,70.5,75.3,21.1,-260535,-9.2,209147,0.8
2006,620816,22.2,2.7,149476,5.4,73.2,70.8,75.6,19.9,-272694,-9.7,198646,0.8
2007,619312,22,2.7,150640,5.4,73.5,71.1,75.9,18.7,-274558,-9.9,194114,0.7
2008,611440,21.6,2.7,151664,5.4,73.8,71.4,76.2,17.6,-265587,-9.7,194189,0.6
2009,598800,21,2.6,152599,5.4,74.1,71.7,76.6,16.7,-248000,-9.2,198201,0.7
2010,584445,20.4,2.5,153645,5.4,74.4,72,76.9,15.8,-222605,-8.3,208195,0.7
2011,571427,19.8,2.5,155000,5.4,74.7,72.2,77.2,15.1,-190209,-7.3,226218,0.7
2012,562799,19.3,2.4,156863,5.4,75,72.5,77.5,14.4,-151620,-6,254316,0.7
2013,559531,19.1,2.4,159106,5.4,75.3,72.7,77.8,13.9,-97005,-4.3,303420,0.8
2014,559587,18.9,2.4,161597,5.5,75.6,73,78.2,13.5,-25825,-2.2,372165,0.9
2015,561514,18.7,2.3,164526,5.5,75.9,73.2,78.5,13.2,47170,0.3,444158,1.2
2016,563855,18.5,2.3,168086,5.5,76.1,73.4,78.8,13,107228,2.5,502997,1.5
2017,565157,18.2,2.3,172467,5.6,76.4,73.6,79.1,12.9,139600,4.1,532290,1.8
2018,565815,17.9,2.3,178127,5.6,76.6,73.8,79.3,12.7,134807,4.6,522495,1.9
2019,566797,17.6,2.2,184938,5.8,76.7,74,79.4,12.6,102683,4,484542,1.8
2020,567512,17.4,2.2,192215,5.9,76.9,74.1,79.5,12.6,57446,2.7,432743,1.5
2021,567369,17.2,2.2,199269,6,77,74.3,79.6,12.5,13312,1.2,381412,1.3
2022,565776,16.9,2.2,205416,6.2,77.1,74.4,79.7,12.5,-15500,0,344860,1.1
2023,562351,16.7,2.1,210433,6.2,77.2,74.6,79.8,12.4,-26955,-0.7,324963,1
2024,557489,16.4,2.1,214777,6.3,77.4,74.7,80,12.3,-30532,-0.9,312180,0.9
2025,551761,16.1,2.1,218781,6.4,77.5,74.9,80.1,12.3,-29283,-0.9,303697,0.9
2026,545740,15.7,2.1,222781,6.4,77.6,75,80.2,12.2,-26262,-0.8,296697,0.9
2027,539998,15.4,2.1,227111,6.5,77.7,75.1,80.3,12.1,-24520,-0.7,288367,0.9
2028,534421,15.2,2,231791,6.6,77.8,75.3,80.4,12.1,-23675,-0.7,278955,0.8
2029,528629,14.9,2,236599,6.7,78,75.4,80.5,12,-21692,-0.7,270338,0.8
2030,522790,14.6,2,241503,6.7,78.1,75.5,80.6,12,-19146,-0.6,262141,0.8
2031,517073,14.3,2,246470,6.8,78.2,75.6,80.7,11.9,-16610,-0.5,253993,0.7
2032,511645,14.1,2,251469,6.9,78.3,75.7,80.8,11.9,-14660,-0.4,245516,0.7
2033,506487,13.9,1.9,256465,7,78.4,75.8,80.9,11.8,-13362,-0.4,236660,0.7
2034,501486,13.6,1.9,261479,7.1,78.5,75.9,81,11.8,-12334,-0.4,227673,0.6
2035,496673,13.4,1.9,266563,7.2,78.6,76,81.1,11.7,-11475,-0.3,218635,0.6
2036,492078,13.2,1.9,271768,7.3,78.7,76.1,81.2,11.7,-10684,-0.3,209626,0.6
2037,487731,13,1.9,277145,7.4,78.8,76.2,81.3,11.6,-9860,-0.3,200726,0.6
2038,483689,12.8,1.9,282727,7.5,78.9,76.3,81.4,11.6,-8954,-0.3,192008,0.5
2039,479933,12.7,1.9,288478,7.6,79,76.4,81.5,11.5,-8033,-0.2,183422,0.5
2040,476376,12.5,1.8,294352,7.7,79.1,76.5,81.6,11.4,-7171,-0.2,174853,0.5
2041,472933,12.4,1.8,300299,7.9,79.2,76.6,81.7,11.4,-6442,-0.2,166192,0.5
2042,469518,12.2,1.8,306272,8,79.3,76.7,81.8,11.3,-5920,-0.2,157326,0.4
2043,466189,12.1,1.8,312302,8.1,79.4,76.8,81.9,11.3,-5556,-0.2,148331,0.4
2044,463002,12,1.8,318422,8.2,79.5,76.9,82,11.2,-5299,-0.1,139281,0.4
2045,459872,11.8,1.8,324583,8.4,79.6,77,82.1,11.2,-5225,-0.1,130064,0.4
2046,456714,11.7,1.8,330736,8.5,79.7,77.1,82.2,11.1,-5408,-0.1,120570,0.3
2047,453441,11.6,1.7,336835,8.6,79.8,77.2,82.3,11.1,-5920,-0.1,110686,0.3
2048,450168,11.5,1.7,342943,8.8,79.9,77.3,82.4,11,-6664,-0.2,100561,0.3
2049,446810,11.4,1.7,349011,8.9,80,77.4,82.5,11,-7713,-0.2,90086,0.3
2050,443337,11.3,1.7,355024,9,80.1,77.5,82.6,10.9,-9092,-0.2,79221,0.2
