Factor,Puntaje
Inestabilidad política,3.9
Conflictos sociales,3.6
Burocracia ineficiente para tramitar servicios con el Estado,3.5
Tasas tributarias altas y/ o regulación tributaria compleja,3.3
Inseguridad del sistema jurídico,3.2
"Criminalidad (robos, estafas, extorsiones, etc.)",3.2
"Factores climatológicos adversos (Fenómeno El Niño, sequías, exceso de lluvias, etc.)",3.1
Acceso limitado y/o costo alto del financiamiento,3
Pagos irregulares y/o favoritismo en las gestiones con el sector privado y/o público,2.9
Costos elevados de adopción y de innovación tecnológica,2.8
Mercado laboral rígido,2.8
Infraestructura de transporte inadecuado,2.8
Servicios logísticos inadecuados,2.7
Baja calidad educativa de la fuerza laboral,2.6
Dificultad para instalación de plantas y oficinas (construcción/alquiler),2.3
Acceso limitado y baja calidad de los servicios de salud,2.3
Suministro de energía (eléctrica y/o gas natural) limitado o inseguro,2.3