Trimestre,PBI,Variación del PBI
1/1/90,40440.508,
4/1/90,40316.936,
7/1/90,33934.511,
10/1/90,36800.045,
1/1/91,36289.657,-0.102640936
4/1/91,40194.366,-0.003040161
7/1/91,39444.329,0.162366213
10/1/91,38925.649,0.057760896
1/1/92,38553.886,0.062393229
4/1/92,39420.098,-0.019263092
7/1/92,36833.071,-0.066201092
10/1/92,39209.946,0.007303579
1/1/93,38458.771,-0.002467043
4/1/93,41646.567,0.056480561
7/1/93,40683.666,0.104541792
10/1/93,41303.995,0.053406082
1/1/94,43373.677,0.127796749
4/1/94,46709.949,0.121579811
7/1/94,45094.065,0.10840711
10/1/94,46865.980,0.134659732
1/1/95,47280.469,0.090072864
4/1/95,50715.534,0.085754435
7/1/95,48795.675,0.08208642
10/1/95,48744.313,0.040078819
1/1/96,47884.625,0.012778145
4/1/96,51913.680,0.023624834
7/1/96,50072.601,0.026168826
10/1/96,51138.383,0.049114858
1/1/97,50364.871,0.051796292
4/1/97,56186.468,0.082305613
7/1/97,53279.583,0.064046639
10/1/97,54197.370,0.05981782
1/1/98,51486.876,0.022277528
4/1/98,54478.793,-0.030392984
7/1/98,53514.846,0.004415631
10/1/98,53709.478,-0.009002123
1/1/99,51214.634,-0.005287613
4/1/99,55517.781,0.019071418
7/1/99,53196.090,-0.005956398
10/1/99,56448.236,0.050992076
1/1/00,54674.822,0.067562501
4/1/00,58255.551,0.049313385
7/1/00,54621.751,0.026800115
10/1/00,54654.583,-0.031775183
1/1/01,51760.367,-0.053305256
4/1/01,58431.064,0.003012818
7/1/01,56119.647,0.027423071
10/1/01,57268.497,0.047826076
1/1/02,55137.741,0.065250199
4/1/02,62307.227,0.066337363
7/1/02,58404.354,0.04071136
10/1/02,59923.625,0.04636279
1/1/03,58249.270,0.056431926
4/1/03,65202.488,0.046467504
7/1/03,60551.683,0.036766591
10/1/03,61589.172,0.027794503
1/1/04,60913.816,0.045743842
4/1/04,67639.713,0.037379321
7/1/04,63145.753,0.042840582
10/1/04,66070.505,0.072761701
1/1/05,64340.889,0.056261027
4/1/05,71310.368,0.054267746
7/1/05,67229.826,0.064676928
10/1/05,71090.071,0.075972868
1/1/06,69670.764,0.082838063
4/1/06,75823.935,0.063294694
7/1/06,72806.269,0.082945966
10/1/06,76296.862,0.073242177
1/1/07,73354.118,0.052868
4/1/07,80625.953,0.063331156
7/1/07,80699.632,0.108415979
10/1/07,85013.297,0.114243687
1/1/08,80792.368,0.101401941
4/1/08,89107.915,0.105201383
7/1/08,88428.033,0.095767491
10/1/08,90517.749,0.064748127
1/1/09,82889.152,0.025952749
4/1/09,88453.933,-0.007339215
7/1/09,88339.058,-0.00100619
10/1/09,92987.912,0.02728927
1/1/10,87433.278,0.054821716
4/1/10,96785.710,0.094193408
7/1/10,96792.352,0.095691466
10/1/10,101052.380,0.086725984
1/1/11,94788.465,0.08412343
4/1/11,101898.020,0.052820916
7/1/11,102416.545,0.058105756
10/1/11,107124.994,0.06009372
1/1/12,100582.472,0.061125656
4/1/12,107907.290,0.058973379
7/1/12,109606.955,0.070207507
10/1/12,113083.466,0.055621682
1/1/13,105589.199,0.049777336
4/1/13,114667.733,0.062650474
7/1/13,115335.705,0.052266298
10/1/13,120819.087,0.068406298
1/1/14,110822.525,0.049563073
4/1/14,116915.377,0.019601364
7/1/14,117439.173,0.018237789
10/1/14,122114.102,0.010718625
1/1/15,112960.262,0.019289737
4/1/15,120623.990,0.031720491
7/1/15,121146.065,0.03156436
10/1/15,127756.199,0.04620349
1/1/16,118029.990,0.044880634
4/1/16,125145.553,0.037484769
7/1/16,126731.476,0.046104767
10/1/16,131656.507,0.030529301
1/1/17,120740.654,0.022965891
4/1/17,128455.253,0.026446807
7/1/17,130293.940,0.02811033
10/1/17,134725.153,0.023307971
1/1/18,124547.622,0.031530126
4/1/18,135645.614,0.055975609
7/1/18,133481.756,0.024466341
10/1/18,140951.008,0.046211527
1/1/19,127523.850,0.023896305
4/1/19,137191.763,0.011398444
7/1/19,138009.198,0.033918058
10/1/19,143880.189,0.020781554
1/1/20,123063.595,-0.03497585
4/1/20,95967.484,-0.300486546
7/1/20,125941.440,-0.087441694
10/1/20,141764.481,-0.014704651
1/1/21,128265.170,0.042267374
4/1/21,136398.125,0.421295207
7/1/21,140624.824,0.11658898
10/1/21,146425.881,0.032881297
1/1/22,133284.727,0.039134217
4/1/22,140994.752,0.033700075
7/1/22,143375.542,0.019560686
10/1/22,148859.433,0.016619685
1/1/23,132740.399,-0.004083947
4/1/23,140295.871,-0.004956785
7/1/23,141643.012,-0.012083862
,,