Año,Tipo,Total
2002,Nacional,150887
2002,Extranjero,306989
2002,Total,457876
2003,Nacional,190003
2003,Extranjero,333805
2003,Total,523808
2004,Nacional,184239
2004,Extranjero,404499
2004,Total,588738
2005,Nacional,204638
2005,Extranjero,475315
2005,Total,679953
2006,Nacional,210882
2006,Extranjero,480741
2006,Total,691623
2007,Nacional,251990
2007,Extranjero,548168
2007,Total,800158
2008,Nacional,242101
2008,Extranjero,616115
2008,Total,858216
2009,Nacional,233388
2009,Extranjero,581880
2009,Total,815268
2010,Nacional,227089
2010,Extranjero,472742
2010,Total,699831
2011,Nacional,300683
2011,Extranjero,670959
2011,Total,971642
2012,Nacional,351965
2012,Extranjero,762469
2012,Total,1114434
2013,Nacional,372960
2013,Extranjero,804348
2013,Total,1177308
2014,Nacional,298986
2014,Extranjero,842191
2014,Total,1141177
2015,Nacional,371462
2015,Extranjero,911053
2015,Total,1282515
2016,Nacional,422743
2016,Extranjero,996764
2016,Total,1419507
2017,Nacional,340595
2017,Extranjero,1070684
2017,Total,1411279
2018,Nacional,349665
2018,Extranjero,1224411
2018,Total,1574076
2019,Nacional,369641
2019,Extranjero,1215621
2019,Total,1585262
2020,Nacional,96791
2020,Extranjero,172785
2020,Total,269576
2021,Nacional,305613
2021,Extranjero,155507
2021,Total,461120
2022,Nacional,326434
2022,Extranjero,712150
2022,Total,1038584
2023,Nacional,293824
2023,Extranjero,661917
2023,Total,955741